Date,Avg,Rest,Low,Medium Stress,High Stress
5/2/2025,32,4h 26min,5h 38min,1h 12min,14min
5/1/2025,25,7h 10min,3h 0min,40min,12min
4/30/2025,24,7h 52min,3h 17min,9min,2min
4/29/2025,38,2h 8min,7h 2min,2h 13min,1min
4/28/2025,35,4h 44min,3h 15min,1h 58min,22min
4/27/2025,27,9h 3min,5h 29min,1h 1min,7min
4/26/2025,35,7h 23min,5h 51min,1h 56min,1h 17min
4/25/2025,27,5h 52min,4h 30min,37min,7min
4/24/2025,35,2h 20min,7h 19min,1h 19min,7min
4/23/2025,29,6h 1min,4h 14min,1h 5min,4min
4/22/2025,31,5h 15min,5h 30min,1h 5min,6min
4/21/2025,29,6h 34min,2h 48min,1h 19min,18min
4/20/2025,33,6h 23min,10h 3min,2h 30min,--
4/19/2025,32,8h 45min,3h 55min,2h 33min,41min
4/18/2025,32,7h 2min,8h 26min,2h 12min,12min
4/17/2025,32,4h 39min,5h 9min,1h 6min,18min
4/16/2025,32,4h 16min,4h 47min,1h 27min,4min
4/15/2025,27,6h 8min,4h 41min,21min,6min
4/14/2025,32,4h 19min,5h 33min,1h 27min,5min
4/13/2025,30,8h 18min,4h 23min,2h 51min,15min
4/12/2025,31,8h 48min,7h 32min,2h 44min,8min
4/11/2025,33,5h 44min,3h 7min,2h 17min,10min
4/10/2025,21,7h 40min,2h 12min,22min,6min
4/9/2025,28,5h 10min,4h 33min,45min,6min
4/8/2025,42,1h 59min,5h 43min,3h 34min,14min
4/7/2025,32,5h 16min,4h 36min,1h 24min,11min
4/6/2025,26,9h 37min,6h 55min,32min,8min
4/5/2025,29,10h 13min,7h 14min,2h 18min,17min
4/4/2025,30,6h 25min,3h 44min,1h 40min,2min
4/3/2025,29,7h 2min,3h 50min,1h 24min,7min
4/2/2025,22,7h 42min,3h 36min,10min,3min
4/1/2025,38,2h 28min,5h 59min,2h 36min,6min
3/31/2025,31,6h 33min,2h 20min,2h 24min,7min
3/30/2025,19,10h 54min,1h 12min,13min,2min
3/29/2025,30,6h 54min,8h 56min,1h 37min,16min
3/28/2025,20,7h 0min,4h 15min,11min,1min
3/27/2025,24,6h 44min,3h 53min,16min,1min
3/26/2025,24,7h 4min,2h 45min,39min,21min
3/25/2025,27,6h 2min,4h 27min,24min,11min
3/24/2025,30,6h 49min,4h 13min,1h 23min,24min
3/23/2025,20,12h 1min,2h 25min,39min,--
3/22/2025,25,11h 5min,4h 39min,1h 29min,21min
3/21/2025,24,6h 1min,3h 40min,18min,2min
3/20/2025,21,7h 20min,2h 40min,24min,6min
3/19/2025,22,8h 29min,2h 22min,13min,7min
3/18/2025,19,9h 30min,2h 4min,8min,2min
3/17/2025,17,11h 12min,23min,3min,4min
3/16/2025,17,11h 5min,1h 9min,3min,--
3/15/2025,36,5h 6min,9h 52min,2h 57min,29min
3/14/2025,43,2h 54min,4h 39min,3h 14min,53min
3/13/2025,21,9h 1min,2h 25min,21min,2min
3/12/2025,27,5h 25min,5h 49min,21min,2min
3/11/2025,24,6h 21min,3h 33min,10min,2min
3/10/2025,23,7h 4min,3h 45min,8min,6min
3/9/2025,29,8h 5min,5h 52min,1h 28min,21min
3/8/2025,26,11h 40min,6h 6min,1h 4min,1min
3/7/2025,25,7h 17min,1h 46min,43min,11min
3/6/2025,24,7h 21min,2h 34min,30min,8min
3/5/2025,31,3h 37min,5h 29min,56min,4min
3/4/2025,27,6h 22min,3h 12min,1h 3min,3min
3/3/2025,20,9h 43min,1h 46min,8min,8min
3/2/2025,26,9h 39min,6h 2min,23min,13min
3/1/2025,23,12h 20min,4h 24min,54min,10min
2/28/2025,22,8h 52min,2h 18min,18min,3min
2/27/2025,23,7h 48min,3h 38min,27min,4min
2/26/2025,24,7h 20min,3h 22min,22min,4min
2/25/2025,29,4h 21min,5h 12min,23min,9min
2/24/2025,26,6h 55min,2h 51min,55min,10min
2/23/2025,25,10h 21min,3h 12min,1h 3min,11min
2/22/2025,28,11h 36min,3h 9min,1h 55min,1h 5min
2/21/2025,20,8h 1min,1h 45min,9min,1min
2/20/2025,28,3h 39min,5h 21min,29min,1min
2/19/2025,29,6h 15min,4h 22min,49min,4min
2/18/2025,28,6h 11min,3h 31min,47min,10min
2/17/2025,27,10h 35min,5h 33min,1h 38min,18min
2/16/2025,24,11h 49min,4h 14min,1h 13min,9min
2/15/2025,26,11h 26min,7h 34min,48min,2min
2/14/2025,32,3h 5min,4h 58min,42min,16min
2/13/2025,26,6h 49min,2h 27min,53min,11min
2/12/2025,24,5h 4min,3h 3min,14min,10min
2/11/2025,25,6h 9min,4h 15min,20min,2min
2/10/2025,24,7h 55min,1h 22min,33min,8min
2/9/2025,28,8h 37min,7h 40min,1h 39min,1min
2/8/2025,32,4h 26min,6h 14min,1h 8min,3min
2/7/2025,33,2h 4min,5h 52min,42min,15min
2/6/2025,25,6h 31min,2h 34min,45min,9min
2/5/2025,36,4h 57min,11h 11min,3h 5min,7min
2/4/2025,35,3h 7min,5h 53min,1h 9min,41min
2/3/2025,28,5h 47min,5h 31min,33min,7min
2/2/2025,32,9h 52min,6h 18min,2h 34min,34min
2/1/2025,26,5h 18min,5h 33min,9min,2min
1/31/2025,32,1h 49min,5h 44min,23min,2min
1/30/2025,21,7h 38min,2h 23min,5min,--
1/29/2025,34,4h 9min,10h 20min,2h 9min,7min
1/28/2025,31,3h 38min,5h 51min,47min,1min
1/27/2025,24,6h 26min,2h 47min,19min,3min
1/26/2025,28,11h 20min,4h 5min,2h 33min,16min
1/25/2025,30,3h 56min,6h 53min,34min,12min
1/24/2025,34,1h 7min,5h 59min,41min,2min
1/23/2025,32,5h 35min,1h 52min,2h 30min,5min
